area, code
Other, 0
Kakaako, 101
Waikiki, 201
Hawaii Kai, 301
Waimanalo Beach, 401
Waimanalo, 402
Maunawiki, 403
Kailua, 404
Mokapu, 405
Kaneohe, 406
Heeia, 407
Kahaluu, 408
Ahuimanu, 409
Kaaawa, 501
Hauula, 502
Laie, 503
Kahuku, 504
Punaluu, 505
Pupukea, 506
Kawela Bay, 507
Haleiwa, 601
Waialua, 602
Whitmore Village, 701
Wahiawa, 702
Schofield Barracks, 703
Mkaha, 801
Waianae, 802
Maili, 803
Nanakuli, 804
Makaha Valley, 805
Iroquois Point, 901
Ewa Beach, 902
Ewa, 903
Barbers Point Housing, 904
Makakilo City, 905
Waipahu, 906
Mililani Town, 907
Waipio Acres, 908
Pearl City, 909
Aiea, 910
Hickam Housing, 911
Crestview, 912
Village Park, 913
West Beach, 914
West Beach Expansion, 915
Ewa Marina, 916
Pearl Meadows, 917
Ewa Farrington, 918
Waiawa, 919
Waikele, 920
Waiola, 921
Gentry, 922
